timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967412602,616,HTTP Request,200,OK,ThreadGroup 1-6,text,false,60898,6,6,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,609,1,1,0
1374967412754,560,HTTP Request,200,OK,ThreadGroup 1-2,text,false,16932,6,6,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,558,1,1,0
1374967412973,405,HTTP Request,200,OK,ThreadGroup 1-3,text,false,38965,6,6,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,401,1,1,0
1374967411924,1707,HTTP Request,200,OK,ThreadGroup 1-5,text,false,121439,6,6,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1697,1,1,0
1374967413227,596,HTTP Request,200,OK,ThreadGroup 1-6,text,false,24405,6,6,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,593,1,1,0
1374967413325,613,HTTP Request,200,OK,ThreadGroup 1-2,text,false,32359,6,6,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,607,1,1,0
1374967413388,576,HTTP Request,200,OK,ThreadGroup 1-3,text,false,82512,6,6,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,567,1,1,0
1374967413217,997,HTTP Request,200,OK,ThreadGroup 1-1,text,false,163109,6,6,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,985,1,1,0
1374967413948,479,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38963,6,6,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,473,1,1,0
1374967413840,608,HTTP Request,200,OK,ThreadGroup 1-6,text,false,60898,6,6,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,600,1,1,0
1374967413645,849,HTTP Request,200,OK,ThreadGroup 1-5,text,false,60651,6,6,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,843,1,1,0
1374967413977,563,HTTP Request,200,OK,ThreadGroup 1-3,text,false,16932,6,6,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,561,1,1,0
1374967414230,404,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38965,6,6,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,401,1,1,0
1374967413162,1716,HTTP Request,200,OK,ThreadGroup 1-4,text,false,121439,6,6,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1704,1,1,0
1374967414507,599,HTTP Request,200,OK,ThreadGroup 1-5,text,false,24405,6,6,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,595,1,1,0
1374967414550,613,HTTP Request,200,OK,ThreadGroup 1-3,text,false,32359,6,6,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,608,1,1,0
1374967414645,571,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,6,6,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,563,1,1,0
1374967414459,1005,HTTP Request,200,OK,ThreadGroup 1-6,text,false,163109,6,6,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,992,1,1,0
1374967415174,475,HTTP Request,200,OK,ThreadGroup 1-3,text,false,38963,6,6,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,470,1,1,0
1374967415125,608,HTTP Request,200,OK,ThreadGroup 1-5,text,false,60898,6,6,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,602,1,1,0
1374967414889,854,HTTP Request,200,OK,ThreadGroup 1-4,text,false,60651,6,6,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,847,1,1,0
1374967415226,563,HTTP Request,200,OK,ThreadGroup 1-1,text,false,16932,6,6,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,561,1,1,0
1374967415476,407,HTTP Request,200,OK,ThreadGroup 1-6,text,false,38965,6,6,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,403,1,1,0
1374967414436,1694,HTTP Request,200,OK,ThreadGroup 1-2,text,false,121439,6,6,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1684,1,1,0
1374967415752,610,HTTP Request,200,OK,ThreadGroup 1-4,text,false,24405,6,6,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,606,1,1,0
1374967415799,620,HTTP Request,200,OK,ThreadGroup 1-1,text,false,32359,6,6,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,616,1,1,0
1374967415894,575,HTTP Request,200,OK,ThreadGroup 1-6,text,false,82512,6,6,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,565,1,1,0
1374967415746,1032,HTTP Request,200,OK,ThreadGroup 1-5,text,false,163110,6,6,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,1019,1,1,0
1374967416430,478,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38963,6,6,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,473,1,1,0
1374967416373,612,HTTP Request,200,OK,ThreadGroup 1-4,text,false,60898,6,6,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,604,1,1,0
1374967416143,854,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60651,6,6,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,847,1,1,0
1374967416478,564,HTTP Request,200,OK,ThreadGroup 1-6,text,false,16932,6,6,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,561,1,1,0
1374967416791,406,HTTP Request,200,OK,ThreadGroup 1-5,text,false,38965,6,6,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,402,1,1,0
1374967415660,1701,HTTP Request,200,OK,ThreadGroup 1-3,text,false,121439,6,6,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1692,1,1,0
1374967417009,602,HTTP Request,200,OK,ThreadGroup 1-2,text,false,24405,6,6,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,598,1,1,0
1374967417051,610,HTTP Request,200,OK,ThreadGroup 1-6,text,false,32359,6,6,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,605,1,1,0
