timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967578804,20,HTTP Request,200,ThreadGroup 1-1,text,true,58109,1,1,http://adsate:9002/solr/select?q=copyright%3A%28c+AND+2011%29&xid=jmeter,18,1,0,0
1374967578854,18,HTTP Request,200,ThreadGroup 1-1,text,true,190183,1,1,http://adsate:9002/solr/select?q=copyright%3A%282012+AND+c%29&xid=jmeter,13,1,0,0
1374967578919,9,HTTP Request,200,ThreadGroup 1-1,text,true,40518,1,1,http://adsate:9002/solr/select?q=copyright%3A%28physics+AND+2012%29&xid=jmeter,8,1,0,0
1374967578954,9,HTTP Request,200,ThreadGroup 1-1,text,true,40518,1,1,http://adsate:9002/solr/select?q=copyright%3A%28physics+AND+2012%29&xid=jmeter,8,1,0,0
1374967578982,11,HTTP Request,200,ThreadGroup 1-1,text,true,147840,1,1,http://adsate:9002/solr/select?q=copyright%3A%28copyright+AND+of%29&xid=jmeter,7,1,0,0
1374967579028,26,HTTP Request,200,ThreadGroup 1-1,text,true,384792,1,1,http://adsate:9002/solr/select?q=copyright%3A%28verlag+AND+springer%29&xid=jmeter,14,1,0,0
1374967579101,28,HTTP Request,200,ThreadGroup 1-1,text,true,618057,1,1,http://adsate:9002/solr/select?q=copyright%3A%28geophysical+AND+2012%29&xid=jmeter,7,1,0,0
1374967579179,16,HTTP Request,200,ThreadGroup 1-1,text,true,31028,1,1,http://adsate:9002/solr/select?q=copyright%3A%28american+AND+geophysical%29&xid=jmeter,15,1,0,0
1374967579216,15,HTTP Request,200,ThreadGroup 1-1,text,true,262015,1,1,http://adsate:9002/solr/select?q=copyright%3A%28springerverlag+AND+the%29&xid=jmeter,8,1,0,0
1374967579270,7,HTTP Request,200,ThreadGroup 1-1,text,true,440,1,1,http://adsate:9002/solr/select?q=copyright%3A%28springerverlag+AND+american%29&xid=jmeter,7,1,0,0
