timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1374967293197,12,HTTP Request,200,OK,ThreadGroup 1-1,text,true,417,2,2,12,1,0,0
1374967293201,14,HTTP Request,200,OK,ThreadGroup 1-2,text,true,418,2,2,14,1,0,0
1374967293224,21,HTTP Request,200,OK,ThreadGroup 1-2,text,true,417,2,2,21,1,0,0
1374967293223,64,HTTP Request,200,OK,ThreadGroup 1-1,text,true,19538,2,2,64,1,0,0
1374967293264,42,HTTP Request,200,OK,ThreadGroup 1-2,text,true,16733,2,2,42,1,0,0
1374967293304,12,HTTP Request,200,OK,ThreadGroup 1-1,text,true,418,2,2,12,1,0,0
1374967293318,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,417,2,2,10,1,0,0
1374967293327,13,HTTP Request,200,OK,ThreadGroup 1-1,text,true,30169,2,2,12,1,0,0
1374967293340,12,HTTP Request,200,OK,ThreadGroup 1-2,text,true,30169,2,2,11,1,0,0
1374967293350,12,HTTP Request,200,OK,ThreadGroup 1-1,text,true,417,2,2,12,1,0,0
1374967293360,16,HTTP Request,200,OK,ThreadGroup 1-2,text,true,417,2,2,16,1,0,0
1374967293376,11,HTTP Request,200,OK,ThreadGroup 1-1,text,true,417,2,2,11,1,0,0
1374967293383,13,HTTP Request,200,OK,ThreadGroup 1-2,text,true,418,2,2,13,1,0,0
1374967293398,12,HTTP Request,200,OK,ThreadGroup 1-1,text,true,417,2,2,12,1,0,0
1374967293416,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,440,2,2,3,1,0,0
1374967293404,21,HTTP Request,200,OK,ThreadGroup 1-2,text,true,21773,2,2,21,1,0,0
1374967293435,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,422,2,2,3,1,0,0
1374967293433,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,54884,2,2,3,1,0,0
1374967293449,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,438,2,2,3,1,0,0
1374967293457,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,449,2,2,9,1,0,0
1374967293466,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,62930,2,2,3,1,0,0
1374967293475,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,438,2,2,5,1,0,0
1374967293481,6,HTTP Request,200,OK,ThreadGroup 1-2,text,true,451,2,2,6,1,0,0
1374967293487,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,440,2,2,7,1,0,0
1374967293502,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,437,2,2,3,1,0,0
1374967293493,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,444,2,2,3,1,0,0
1374967293515,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,443,2,2,3,1,0,0
1374967293517,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,450,2,2,7,1,0,0
1374967293531,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,465,2,2,3,1,0,0
1374967293542,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,459,2,2,2,1,0,0
1374967293548,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,432,2,2,4,1,0,0
1374967293553,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,439,2,2,5,1,0,0
1374967293563,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,439,2,2,4,1,0,0
1374967293578,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,420,2,2,2,1,0,0
1374967293581,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,455,2,2,3,1,0,0
1374967293597,10,HTTP Request,200,OK,ThreadGroup 1-1,text,true,21155,2,2,10,1,0,0
1374967293620,18,HTTP Request,200,OK,ThreadGroup 1-1,text,true,429,2,2,18,1,0,0
1374967293601,27,HTTP Request,200,OK,ThreadGroup 1-2,text,true,16604,2,2,26,1,0,0
1374967293652,6,HTTP Request,200,OK,ThreadGroup 1-2,text,true,420,2,2,6,1,0,0
1374967293650,10,HTTP Request,200,OK,ThreadGroup 1-1,text,true,43894,2,2,9,1,0,0
1374967293669,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,431,2,2,6,1,0,0
1374967293685,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,2,2,2,1,0,0
1374967293665,21,HTTP Request,200,OK,ThreadGroup 1-2,text,true,27531,2,2,20,1,0,0
1374967293695,21,HTTP Request,200,OK,ThreadGroup 1-2,text,true,27574,2,2,20,1,0,0
1374967293739,21,HTTP Request,200,OK,ThreadGroup 1-2,text,true,20171,2,2,21,1,0,0
1374967293695,43,HTTP Request,200,OK,ThreadGroup 1-1,text,true,300137,2,2,24,1,0,0
1374967293774,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,424,2,2,10,1,0,0
1374967293776,22,HTTP Request,200,OK,ThreadGroup 1-1,text,true,80907,2,2,18,1,0,0
1374967293791,28,HTTP Request,200,OK,ThreadGroup 1-2,text,true,16595,2,2,28,1,0,0
1374967293808,23,HTTP Request,200,OK,ThreadGroup 1-1,text,true,21939,2,2,23,1,0,0
1374967293827,19,HTTP Request,200,OK,ThreadGroup 1-2,text,true,179881,2,2,16,1,0,0
1374967293848,28,HTTP Request,200,OK,ThreadGroup 1-1,text,true,139530,2,2,26,1,0,0
1374967293872,35,HTTP Request,200,OK,ThreadGroup 1-2,text,true,40828,2,2,33,1,0,0
1374967293895,20,HTTP Request,200,OK,ThreadGroup 1-1,text,true,35481,2,2,19,1,0,0
